Name,Pos,Pts,G,Min,R,A,A%,S,BS,S%,PF,TO%,UR%,Ts,FG%,EFG%,2P%,TS%,OR%,DR%,TR%,3P%,FT%,PER
Jayson Tatum,PF,36.91,35.0,1544.0,339.7,171.0,22.3,49.0,35.9,2.2,88.5,11.6,39.6,113.6,56.6,65.4,67.7,73.2,4.7,24.8,14.5,41.9,97.75,36.2
Jaylen Brown,SF,32.43,35.0,1496.0,303.8,141.1,19.3,49.0,17.9,2.3,114.8,14.1,37.9,128.0,59.2,66.5,70.3,70.9,5.3,22.1,13.4,40.2,96.2,30.0
Malcolm Brogdon,SG,15.55,31.0,866.0,148.3,141.1,28.9,20.3,11.4,1.6,52.6,16.9,28.0,65.8,56.3,66.9,60.5,72.4,5.1,18.2,11.3,50.6,96.53,25.9
Marcus Smart,PG,13.45,33.0,1308.0,131.6,290.6,35.6,53.8,14.4,2.9,110.0,21.0,19.8,87.3,50.6,61.8,63.1,64.8,3.2,10.5,7.9,40.3,92.3,18.8
Derrick White,SG,12.02,37.0,1163.0,134.0,138.7,19.3,35.9,37.1,2.1,102.9,12.4,18.7,43.1,54.1,66.0,64.3,71.3,3.6,12.0,9.1,45.0,98.04,19.8
Al Horford,C,11.58,28.0,1030.0,210.5,86.1,13.3,14.4,37.1,1.0,59.8,10.5,14.0,20.3,58.6,75.7,68.5,75.9,5.4,22.2,13.5,53.1,74.8,19.2
Grant Williams,PF,10.8,36.0,1195.0,203.3,70.6,11.1,33.5,14.4,1.9,110.0,14.5,14.2,39.5,61.7,77.9,76.4,81.4,6.2,17.1,11.2,52.5,98.52,17.4
Robert Williams III,C,9.91,7.0,157.0,61.0,11.4,10.7,4.3,10.0,1.6,15.5,22.6,16.8,11.4,99.6,99.6,99.6,99.4,23.3,27.6,25.5,0.0,95.7,33.2
Sam Hauser,PF,7.34,37.0,683.0,110.0,32.3,9.3,12.0,11.4,1.2,53.8,8.2,17.4,13.2,53.9,75.2,84.7,75.5,4.2,17.5,10.6,49.2,76.1,18.0
Blake Griffin,PF,6.46,15.0,274.0,70.6,21.5,12.7,5.7,1.4,1.2,37.1,11.7,16.7,8.6,59.8,68.1,73.9,72.2,10.5,25.0,17.0,39.8,85.4,18.8
Payton Pritchard,PG,4.83,23.0,273.0,33.5,29.9,18.2,8.6,1.4,1.8,11.4,17.8,24.5,19.1,47.2,58.4,58.1,60.8,7.7,11.6,9.7,39.8,79.8,15.5
Luke Kornet,C,4.67,31.0,448.0,122.0,26.3,11.5,8.6,28.7,1.1,51.4,14.8,13.5,14.4,80.7,82.3,84.2,85.2,14.9,20.8,17.9,39.8,99.6,23.6
Mfiondu Kabengele,C,2.9,1.0,11.0,5.7,0.0,0.0,0.0,0.0,0.0,1.4,0.0,12.6,0.0,59.8,59.8,100.0,59.8,48.3,15.7,31.8,0.0,0.0,23.3
Noah Vonleh,C,1.36,22.0,196.0,56.2,8.6,6.5,2.9,11.4,0.8,40.7,36.7,11.4,13.2,54.8,59.8,59.8,59.8,13.8,23.7,18.8,29.9,100.0,9.9
JD Davison,PG,0.97,3.0,11.0,1.4,1.4,18.8,1.4,0.0,8.2,0.0,23.9,30.8,1.4,29.9,29.9,59.8,29.9,0.0,15.3,9.3,0.0,0.0,3.0
Justin Jackson,SF,0.72,15.0,80.0,10.0,8.6,12.9,4.3,2.9,3.1,5.7,14.1,13.2,2.9,23.9,31.9,0.0,35.9,0.0,13.5,8.2,29.9,0.0,6.7
Boston Celtics,,10.74,24.31,670.94,121.35,73.7,15.65,18.98,14.71,2.06,53.48,15.67,20.57,36.36,56.67,65.33,68.18,68.03,9.76,18.6,14.36,34.5,74.42,19.96
